epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3282,1.30185,1.97661,1.37736,0.36604,0.24417,0.22603,0.12118,1.58384,2.94638,1.61452,0.0674521,0.000328767,0.000328767
2,93.8945,1.45692,1.89854,1.49303,0.30946,0.18281,0.1418,0.06998,1.67443,2.95955,1.67662,0.0344389,0.000648991,0.000648991
3,139.154,1.54936,2.07564,1.5811,0.16118,0.27645,0.14035,0.07155,1.80676,3.41837,1.86715,0.00141264,0.000956015,0.000956015
4,184.445,1.59236,2.16355,1.63977,0.21821,0.19826,0.12674,0.06477,1.87499,2.91533,1.92002,0.0009406,0.0009406,0.0009406
5,229.635,1.58951,2.169,1.64556,0.39326,0.18203,0.12148,0.0583,1.87197,3.01193,1.93284,0.0009208,0.0009208,0.0009208
6,274.237,1.57424,2.10803,1.60954,0.27979,0.23104,0.18829,0.09675,1.74478,2.38809,1.7152,0.000901,0.000901,0.000901
7,318.734,1.52853,1.9924,1.58344,0.28121,0.27789,0.19091,0.10174,1.67605,2.21528,1.69899,0.0008812,0.0008812,0.0008812
8,363.018,1.50763,1.94084,1.55833,0.30936,0.2709,0.23446,0.12433,1.71893,2.13518,1.71117,0.0008614,0.0008614,0.0008614
9,407.569,1.46854,1.86897,1.53456,0.385,0.29315,0.26669,0.14594,1.66069,1.98362,1.65054,0.0008416,0.0008416,0.0008416
10,455.288,1.43442,1.80019,1.50368,0.46921,0.2657,0.26275,0.15604,1.67024,2.10193,1.67797,0.0008218,0.0008218,0.0008218
11,500.295,1.40267,1.73293,1.48472,0.33168,0.3018,0.26972,0.15399,1.5651,1.84863,1.59574,0.000802,0.000802,0.000802
12,544.441,1.38368,1.71197,1.47518,0.38895,0.30782,0.27681,0.15899,1.56419,1.86782,1.58593,0.0007822,0.0007822,0.0007822
13,589.174,1.35861,1.66453,1.44033,0.45015,0.31457,0.31008,0.18857,1.58189,1.82877,1.60336,0.0007624,0.0007624,0.0007624
14,633.991,1.32626,1.58153,1.42406,0.38245,0.30694,0.29238,0.16737,1.55121,1.80826,1.57535,0.0007426,0.0007426,0.0007426
15,678.925,1.3086,1.55723,1.41796,0.42338,0.33966,0.32837,0.19743,1.56213,1.77082,1.58187,0.0007228,0.0007228,0.0007228
16,724.715,1.29894,1.54032,1.41347,0.39068,0.36561,0.32463,0.19333,1.54267,1.75431,1.58372,0.000703,0.000703,0.000703
17,769.207,1.2881,1.49087,1.41262,0.43715,0.33505,0.33657,0.20081,1.55656,1.80347,1.58084,0.0006832,0.0006832,0.0006832
18,814.004,1.25513,1.44779,1.37786,0.44333,0.40033,0.37149,0.21897,1.5013,1.68861,1.57523,0.0006634,0.0006634,0.0006634
19,858.843,1.23055,1.44304,1.39086,0.46368,0.38185,0.36619,0.2175,1.53968,1.73356,1.56788,0.0006436,0.0006436,0.0006436
20,903.742,1.23458,1.39,1.37001,0.48638,0.33589,0.35577,0.21375,1.5085,1.70153,1.53423,0.0006238,0.0006238,0.0006238
21,949.603,1.18256,1.31999,1.33053,0.44352,0.38671,0.36065,0.20621,1.49264,1.67168,1.52888,0.000604,0.000604,0.000604
22,994.738,1.18341,1.33527,1.34735,0.49897,0.40367,0.39765,0.24715,1.47208,1.60425,1.5278,0.0005842,0.0005842,0.0005842
23,1039.29,1.18544,1.30846,1.33957,0.52432,0.38814,0.393,0.25172,1.49831,1.62833,1.54968,0.0005644,0.0005644,0.0005644
24,1083.89,1.15245,1.25091,1.30871,0.51725,0.37141,0.39467,0.25068,1.45829,1.59913,1.51274,0.0005446,0.0005446,0.0005446
25,1128.23,1.14028,1.23862,1.30012,0.50705,0.38453,0.40612,0.25026,1.46009,1.62597,1.51112,0.0005248,0.0005248,0.0005248
26,1173.32,1.12953,1.1839,1.28882,0.47835,0.41862,0.41713,0.25257,1.44608,1.5647,1.50609,0.000505,0.000505,0.000505
27,1218.73,1.11538,1.17089,1.27595,0.53464,0.39922,0.41224,0.25652,1.44783,1.58077,1.50755,0.0004852,0.0004852,0.0004852
28,1263.21,1.09913,1.13832,1.25722,0.46503,0.40936,0.40655,0.24951,1.47695,1.58531,1.53255,0.0004654,0.0004654,0.0004654
29,1307.57,1.08311,1.11967,1.26448,0.5201,0.38118,0.39222,0.23756,1.43817,1.55718,1.50345,0.0004456,0.0004456,0.0004456
30,1351.62,1.0605,1.07947,1.24184,0.47744,0.42444,0.42301,0.26001,1.44607,1.54954,1.49812,0.0004258,0.0004258,0.0004258
31,1396.23,1.04387,1.0239,1.22972,0.53507,0.39614,0.42161,0.26419,1.45126,1.60852,1.51001,0.000406,0.000406,0.000406
32,1441.81,1.02686,1.01765,1.22739,0.54204,0.41609,0.43745,0.27242,1.4366,1.57976,1.49026,0.0003862,0.0003862,0.0003862
33,1486.72,1.02131,1.01043,1.21025,0.49634,0.40883,0.42896,0.2699,1.43429,1.54659,1.48882,0.0003664,0.0003664,0.0003664
34,1531.15,1.00438,0.97948,1.21028,0.53087,0.41314,0.42786,0.26921,1.45273,1.56056,1.50438,0.0003466,0.0003466,0.0003466
35,1575.21,0.99093,0.9502,1.20002,0.51985,0.43773,0.43948,0.27902,1.46909,1.55188,1.51548,0.0003268,0.0003268,0.0003268
36,1619.9,0.97728,0.92899,1.1947,0.52633,0.39934,0.42227,0.26361,1.42762,1.51966,1.49463,0.000307,0.000307,0.000307
37,1665.06,0.9548,0.89673,1.17107,0.55427,0.44598,0.45326,0.29181,1.42353,1.48437,1.50243,0.0002872,0.0002872,0.0002872
38,1710.55,0.94902,0.87859,1.16417,0.63961,0.40253,0.45737,0.29464,1.42211,1.47953,1.4947,0.0002674,0.0002674,0.0002674
39,1755.25,0.94398,0.86441,1.16721,0.55261,0.41726,0.44248,0.28102,1.40341,1.47592,1.48581,0.0002476,0.0002476,0.0002476
40,1799.22,0.90908,0.83871,1.14863,0.57477,0.4394,0.44914,0.29003,1.41854,1.51881,1.47787,0.0002278,0.0002278,0.0002278
41,1844.31,0.91507,0.806,1.13379,0.54085,0.42874,0.4283,0.27315,1.43427,1.48915,1.51566,0.000208,0.000208,0.000208
42,1888.58,0.85533,0.70149,1.09447,0.59072,0.39581,0.43958,0.28409,1.41006,1.54883,1.4926,0.0001882,0.0001882,0.0001882
43,1933.46,0.85796,0.69862,1.09533,0.55512,0.42267,0.4397,0.28172,1.39292,1.50338,1.47421,0.0001684,0.0001684,0.0001684
44,1977.88,0.83742,0.65509,1.08361,0.55731,0.43354,0.44373,0.2877,1.40729,1.51718,1.49045,0.0001486,0.0001486,0.0001486
45,2021.76,0.82555,0.64703,1.08114,0.50911,0.43273,0.44005,0.29053,1.38417,1.52056,1.4731,0.0001288,0.0001288,0.0001288
46,2065.72,0.80928,0.61282,1.07072,0.62805,0.42128,0.44945,0.29165,1.39378,1.52279,1.48787,0.000109,0.000109,0.000109
47,2109.55,0.80434,0.60371,1.05498,0.62132,0.40433,0.45072,0.29785,1.40135,1.5388,1.48191,8.92e-05,8.92e-05,8.92e-05
48,2153.69,0.78735,0.59067,1.04639,0.57746,0.4269,0.45237,0.29835,1.41557,1.53161,1.49353,6.94e-05,6.94e-05,6.94e-05
49,2202.12,0.78693,0.58688,1.0534,0.55001,0.45959,0.46403,0.3069,1.40802,1.50617,1.49642,4.96e-05,4.96e-05,4.96e-05
50,2247.13,0.7633,0.55959,1.03443,0.56351,0.44604,0.45912,0.30384,1.41218,1.49202,1.50355,2.98e-05,2.98e-05,2.98e-05
